,Timestamp,Bounty,Researcher
103,2/6/2015 18:31:40,140,pyrk2142
202,2/6/2015 18:32:01,140,tehtris
170,2/6/2015 22:49:43,700,filedescriptor
238,2/6/2015 22:50:05,140,avicoder
214,2/6/2015 22:50:39,140,satishb3
244,2/6/2015 22:51:11,420,avicoder
262,2/6/2015 22:51:39,140,avicoder
263,2/6/2015 22:52:01,140,avicoder
162,2/6/2015 22:52:28,420,miantaiduo
273,2/6/2015 22:52:53,560,aamir
280,2/6/2015 22:53:43,560,batuhan
304,2/13/2015 22:07:51,140,shamrocksu88
266,2/13/2015 22:08:35,1260,sandeep100928
300,2/13/2015 22:09:12,1400,sergeym
163,2/13/2015 22:09:42,420,miantaiduo
318,2/20/2015 19:15:09,140,wesecureapp
324,2/20/2015 19:16:16,140,hussein98d
325,2/20/2015 19:17:03,560,siddiki
320,2/20/2015 19:17:36,420,salman
333,2/20/2015 19:18:22,840,fin1te
346,3/1/2015 19:03:50,1400,homakov
330,3/1/2015 20:27:16,1120,xorb
344,3/1/2015 20:27:49,420,hysteria
19,3/1/2015 20:28:22,280,tmpfs
27,3/9/2015 18:33:35,420,filedescriptor
32,3/9/2015 18:34:08,1400,seifelsallamy
34,3/9/2015 18:34:39,560,avicoder
37,3/9/2015 18:35:16,700,avicoder
35,3/9/2015 18:35:44,700,hysteria
46,3/9/2015 18:36:07,420,0xsobky
57,3/9/2015 18:36:31,1400,wesecureapp
53,3/9/2015 18:37:06,140,sukhoi
98,3/13/2015 23:01:39,280,filedescriptor
86,3/13/2015 23:02:09,560,seifelsallamy
90,3/13/2015 23:02:42,140,sukhoi
283,3/13/2015 23:03:25,140,avicoder
93,3/21/2015 3:42:12,140,avicoder
152,3/21/2015 3:43:31,3500,filedescriptor
141,3/21/2015 3:45:52,140,batman
159,3/21/2015 3:47:52,280,dhaval
151,3/21/2015 3:51:46,420,pprincerawat
157,3/21/2015 3:53:00,140,abdulraheem30042
201,3/27/2015 20:39:41,140,pprincerawat
184,3/27/2015 20:41:59,420,wesecureapp
206,3/27/2015 20:42:33,1400,masatokinugawa
208,3/27/2015 20:43:36,140,nismo
204,4/3/2015 17:16:32,140,satishb3
225,4/3/2015 17:56:16,1400,derision
286,4/6/2015 23:47:31,140,prayas
226,4/8/2015 20:18:03,2800,filedescriptor
268,4/14/2015 18:38:37,140,deepankerchawla
261,4/14/2015 18:59:18,700,wesecureapp
294,4/14/2015 18:59:45,280,harshafriend4all
227,4/23/2015 17:45:54,420,wesecureapp
309,4/23/2015 17:46:22,280,satishb3
292,4/23/2015 17:46:58,140,harshafriend4all
340,4/23/2015 17:47:21,280,filedescriptor
0,4/23/2015 17:47:42,280,filedescriptor
8,4/27/2015 22:09:27,1400,filedescriptor
351,4/27/2015 22:10:25,420,adambutler
6,4/27/2015 22:10:56,420,williambreuer
297,4/27/2015 22:11:29,280,filedescriptor
95,5/8/2015 17:47:53,2520,filedescriptor
82,5/8/2015 17:48:51,140,filedescriptor
352,5/8/2015 17:49:48,420,dor1s
251,5/8/2015 17:50:19,560,filedescriptor
173,5/15/2015 17:25:30,2520,filedescriptor
164,5/15/2015 17:25:53,140,russelvanlaurio
231,5/15/2015 17:27:27,280,sr33r4j
143,5/26/2015 20:48:00,280,fourtassi_hamza
235,5/26/2015 20:48:40,560,sesser
252,5/26/2015 20:49:30,140,cj71f
253,5/26/2015 20:49:51,700,filedescriptor
281,5/26/2015 20:50:08,140,prayas
288,5/29/2015 17:21:59,420,hussein98d
316,6/8/2015 17:31:34,5040,dalbin
2,6/8/2015 17:32:06,140,oreoshake
345,6/8/2015 17:35:26,280,shailesh4594
26,6/12/2015 20:56:10,140,bugwrangler
13,6/12/2015 20:56:34,140,nismo
45,6/12/2015 20:57:20,420,0xsobky
50,6/12/2015 20:58:21,5040,filedescriptor
150,6/12/2015 21:02:46,140,kaleemgiet
69,6/12/2015 21:11:06,140,dtay02
270,6/19/2015 18:08:05,420,filedescriptor
284,6/19/2015 18:08:50,280,hussein98d
250,6/19/2015 18:09:30,560,ky0p
28,6/19/2015 18:09:51,140,kerv
354,7/6/2015 18:53:56,420,andreapalazzo
337,7/6/2015 18:54:16,140,cjhbtn
314,7/10/2015 17:40:32,1120,nismo
111,7/20/2015 20:46:14,140,sumitcfe
83,7/20/2015 20:46:41,280,nismo
110,7/20/2015 20:47:17,5040,anand786
175,7/24/2015 18:06:27,560,dushyantsahu
153,7/24/2015 18:06:51,5040,fin1te
218,7/31/2015 19:02:56,140,try_to_hack
106,7/31/2015 19:03:23,7560,max
245,7/31/2015 19:03:49,2520,anand786
224,7/31/2015 19:04:23,140,rebelcari
232,7/31/2015 19:05:21,140,geekboy
211,7/31/2015 19:05:42,140,anand786
348,8/14/2015 21:10:49,280,jigarthakkar39
