,Timestamp,Bounty,Researcher
17,6/19/2014 17:20:11,100,karshxz7593
19,6/19/2014 17:20:14,100,karshxz7593
181,6/24/2014 0:06:19,100,w0rmicilli
44,6/24/2014 17:37:44,500,run
23,6/28/2014 1:15:49,100,ashesh
58,6/28/2014 17:39:11,100,evanricafort0x001
110,7/3/2014 18:47:23,1500,yeukhon
156,7/3/2014 18:54:49,500,zemnmez
90,7/3/2014 19:44:54,100,ashesh
114,7/3/2014 21:45:43,100,asdjsonyou
241,7/17/2014 1:33:10,100,redkan
308,7/23/2014 17:48:17,100,asdjsonyou
65,7/23/2014 17:49:41,200,asdjsonyou
252,7/23/2014 21:18:37,100,asdjsonyou
260,7/23/2014 21:19:44,100,k0reph1l
261,7/23/2014 23:05:58,100,k0reph1l
258,7/23/2014 23:07:18,100,k0reph1l
99,7/31/2014 19:54:26,200,comradpara
125,7/31/2014 19:55:49,200,uname
351,8/1/2014 0:10:29,250,adrianbelen
278,8/4/2014 18:08:17,200,asdjsonyou
26,8/5/2014 1:35:50,100,simon90
220,8/5/2014 17:45:56,500,prakharprasad
338,8/13/2014 17:14:33,500,xbytez
344,8/14/2014 0:48:34,100,stoun
39,8/21/2014 17:37:28,500,mehulrana786
349,8/21/2014 17:40:00,200,christypriory
288,8/23/2014 1:35:39,100,prayas
69,8/28/2014 20:47:21,500,wtm
68,8/28/2014 20:52:01,100,wtm
59,8/28/2014 21:48:33,100,shamrocksu88
72,9/2/2014 19:51:04,1000,leahsilber
346,9/2/2014 20:38:33,250,bobrik
204,9/25/2014 20:24:05,200,dhaval
256,9/26/2014 5:28:30,100,k0reph1l
146,10/13/2014 18:29:03,500,zbanks
212,10/13/2014 18:31:21,100,pranav_hivarekar
250,10/13/2014 18:33:53,200,hailstorm1422
275,10/13/2014 22:31:04,100,kalpesh_makwana
1,10/27/2014 17:49:41,500,danlec
350,10/27/2014 17:51:35,500,pranav_hivarekar
4,10/28/2014 17:28:55,500,norwin_boniao
354,10/28/2014 17:33:17,500,danlec
18,10/30/2014 17:54:51,500,danlec
14,10/30/2014 18:03:45,500,danlec
7,10/30/2014 18:41:26,500,danlec
303,10/30/2014 23:05:52,500,scorppy
16,10/30/2014 23:24:00,500,ethangates
20,10/31/2014 20:33:29,100,psaux
45,11/4/2014 18:53:50,200,run
77,11/4/2014 20:00:10,200,tomvg
89,11/4/2014 22:04:57,100,shahmeer-amir
21,11/4/2014 22:49:01,500,danlec
80,11/10/2014 22:42:19,105,robin
54,11/10/2014 22:45:00,250,atom
31,11/10/2014 22:46:58,200,danlec
48,11/10/2014 22:49:52,500,danlec
24,11/10/2014 22:51:46,300,pranav_hivarekar
353,11/10/2014 22:55:40,100,danlec
71,11/10/2014 22:56:47,100,alex_gaynor
324,11/10/2014 22:58:19,100,pimvanrooij
276,11/10/2014 22:59:06,250,pimvanrooij
85,11/11/2014 0:26:43,100,shahmeer-amir
228,11/11/2014 0:27:35,100,siddiki
86,11/11/2014 1:45:19,250,danlec
238,11/11/2014 1:45:56,100,redkan
225,11/11/2014 1:47:51,100,siddiki
91,11/12/2014 23:56:27,500,danlec
82,11/12/2014 23:57:13,150,danlec
158,11/13/2014 23:06:39,500,danlec
201,11/19/2014 21:27:07,500,danlec
32,11/19/2014 21:34:51,500,danlec
175,11/22/2014 18:43:16,500,danlec
219,11/22/2014 18:44:02,500,danlec
209,11/22/2014 18:44:38,300,pranav_hivarekar
229,11/24/2014 19:18:54,1000,danlec
60,11/25/2014 19:41:00,100,securient
47,12/2/2014 20:16:49,250,emily
243,12/11/2014 0:33:00,500,danlec
291,12/11/2014 0:33:29,500,danlec
224,12/11/2014 0:33:58,500,danlec
277,12/11/2014 0:41:42,200,neex
242,12/11/2014 0:43:30,500,dacort
213,12/11/2014 0:45:44,100,danlec
210,12/11/2014 0:47:49,200,danlec
94,12/11/2014 0:50:54,200,pranav_hivarekar
299,12/12/2014 5:41:08,500,fransrosen
313,12/19/2014 2:45:13,200,pranav_hivarekar
9,12/19/2014 2:45:32,100,faisalahmed
279,12/19/2014 2:45:53,100,k0reph1l
29,12/19/2014 2:46:34,100,geez
332,1/8/2015 21:04:37,100,tester1
61,1/8/2015 21:06:24,100,tomvg
237,1/8/2015 21:07:35,100,adrianbelen
348,1/8/2015 21:19:38,100,siddiki
81,1/8/2015 21:21:06,300,lewispeckover
253,1/9/2015 1:07:33,200,pranav_hivarekar
307,2/11/2015 21:45:46,200,user_0x3a_pass
311,2/11/2015 21:47:57,200,atom
227,2/11/2015 21:50:15,500,yashpandya
11,2/11/2015 21:51:56,200,shahmeer-amir
285,2/11/2015 21:55:16,100,satishb3
88,2/11/2015 21:58:59,500,secbro
57,3/12/2015 19:01:41,200,xbytez
328,3/12/2015 19:03:00,200,satishb3
93,3/12/2015 19:08:39,337,gprosser
186,3/19/2015 19:02:11,2000,onemore
185,4/1/2015 21:52:52,100,robinpuri
245,4/1/2015 21:58:52,150,garrows
246,4/2/2015 21:49:52,2500,derision
284,4/3/2015 0:46:58,200,satishb3
233,4/3/2015 1:05:00,5000,xknown
200,4/3/2015 18:27:44,500,onemore
270,4/4/2015 21:12:11,100,uttam5oren
42,5/1/2015 0:47:19,100,maheshkumar
157,5/8/2015 23:39:05,12.5,jonhendren
179,5/10/2015 2:11:12,100,prakharprasad
40,5/10/2015 2:17:36,100,run
15,5/10/2015 2:30:25,100,shahmeer-amir
180,5/10/2015 2:42:44,200,onemore
55,5/10/2015 3:37:37,500,willis
78,5/12/2015 17:35:12,200,ethack
286,5/21/2015 1:44:14,5250,a0005
287,6/5/2015 20:20:05,100,harshafriend4all
214,7/8/2015 21:51:00,100,ng1
75,7/10/2015 16:32:06,100,cdump
345,7/10/2015 23:26:00,100,alex
3,7/13/2015 20:33:37,100,mitchellrj
316,7/13/2015 22:29:06,100,redkan
300,7/13/2015 22:29:50,100,mohank
13,7/14/2015 0:12:36,100,huzaifa_jawaid
290,7/20/2015 21:39:50,200,satishb3
267,7/22/2015 0:47:40,300,alpha
266,7/22/2015 1:10:53,200,harie_cool
269,7/28/2015 19:03:11,500,chriscct7
331,8/11/2015 20:04:45,100,rhyselsmore
319,8/11/2015 21:41:34,500,danlec
318,8/11/2015 21:58:46,500,danlec
321,8/11/2015 22:08:09,500,danlec
335,8/11/2015 22:08:35,2500,danlec
317,8/17/2015 18:35:23,500,danlec
336,8/17/2015 20:29:15,500,sreejain
22,8/17/2015 20:43:50,1000,harisec
325,8/17/2015 20:44:21,500,hailstorm1422
352,8/17/2015 21:20:12,2500,danlec
264,8/17/2015 22:26:51,500,kamilsevi
263,8/17/2015 22:39:02,100,d3adpool
274,8/18/2015 18:52:28,1000,computerality
306,8/31/2015 22:17:08,100,hydrantlabs
36,8/31/2015 22:38:27,100,alex
312,10/1/2015 21:37:28,300,aristretto
327,10/1/2015 21:40:25,500,danlec
56,10/1/2015 22:52:52,100,blacksdawn
281,10/1/2015 23:04:45,300,n0x00
273,10/1/2015 23:47:06,300,ru94mb
87,10/2/2015 0:04:55,100,pranav_hivarekar
305,10/2/2015 1:55:58,300,nixgeek
271,10/2/2015 17:52:26,100,pranav_hivarekar
254,10/2/2015 17:54:51,500,arietimmerman
74,10/2/2015 18:41:12,500,pranav_hivarekar
342,10/2/2015 19:02:20,100,harry_mg
2,10/2/2015 19:02:47,100,moonstar
51,10/28/2015 15:27:18,1000,benhayak
230,10/28/2015 15:32:03,300,jaredp
182,11/3/2015 20:49:40,100,hextitan
